Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,30p,
"C11, C12, C13, C18",0603,4,0.1µ,
"C14, C15",CP_Elec_5x5.3,2,47μ,
"C4, C5, C8",0603,3,1μ,
C6,0603,1,47n,
C7,0603,1,22µ,
D1,D_SOD-123,1,GS1010FL,
"D2, D3, D4, D5",0603,4,WHITE,
D6,0603,1,BLUE,
J1,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,1,Conn_01x03_Pin,
J3,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal,1,Pin,
J4,PinHeader_1x04_P1.00mm_Vertical,1,Pin,
L1,L_6.3x6.3_H3,1,47μ,
P1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Plug_USB2.0,
"R1, R2",0402,2,10k,
"R10, R11, R3, R4, R5, R9",0402,6,1k,
"R12, R13",0402,2,5.1k,
"R14, R6, R7",0402,3,510,
SW1,SW_PUSH_6mm,1,SW_Push,
SW2,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U2,VQFN40_RGF_TEX,1,DRV8316CTRGFR,
U4,TO-252-2,1,NJM2845DL1,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,
U8,MSOP-10_3x3mm_P0.5mm,1,CH340E,
