Designator,Mid X,Mid Y,Rotation,Layer
C1,-8.255,-6.858,90.0,top
C11,-13.716,-4.826,315.0,top
C12,-4.064,4.826,135.0,top
C13,3.81,0.0,270.0,bottom
C14,-9.525,-15.875,270.0,top
C15,-3.175,-15.875,270.0,top
C18,-6.477,6.731,0.0,top
C2,-6.731,-6.858,90.0,top
C3,-5.207,-6.858,90.0,top
C4,9.398,-8.001,0.0,top
C5,9.525,-17.399,0.0,top
C6,5.715,-17.399,180.0,top
C7,15.875,1.905,0.0,top
C8,13.335,-17.145,180.0,top
D1,18.415,6.35,90.0,top
D2,-16.51,2.54,0.0,top
D3,22.225,-5.461,270.0,top
D4,20.32,-5.461,270.0,top
D5,18.415,-5.461,270.0,top
D6,-12.7,16.51,90.0,top
J1,20.938,-12.446,90.0,top
J3,-20.938,-12.68,270.0,top
J4,-11.557,6.35,90.0,top
L1,10.16,-1.27,0.0,top
P1,-6.35,16.256,180.0,top
R1,-15.24,-2.54,270.0,top
R10,15.24,-5.715,270.0,top
R11,16.51,-5.715,270.0,top
R12,-2.032,10.668,0.0,top
R13,-10.668,10.668,180.0,top
R14,-12.7,13.97,270.0,top
R2,-9.779,-6.35,90.0,top
R3,1.905,-15.875,180.0,top
R4,1.905,-14.604999,180.0,top
R5,1.905,-13.335,180.0,top
R6,1.778,-11.176,90.0,top
R7,-16.51,1.27,180.0,top
R9,13.97,-5.715,270.0,top
SW1,-17.526,9.398001,225.0,top
SW2,6.350001,15.716,180.0,top
U1,-8.89,0.0,0.0,top
U2,7.62,-12.446,90.0,top
U4,10.785001,6.35,180.0,top
U7,0.0,0.0,180.0,bottom
U8,-6.35,9.398,90.0,top
